PacketCounter,Acc_X,Acc_Y,Acc_Z,
141,1.314269304,7.134486198,4.216224194, 
142,0.778088331,7.118797779,3.309422255, 
143,0.600895941,5.632213593,2.285649061, 
144,0.862242937,4.186554432,2.744572163, 
145,1.478359222,3.750647783,4.435661793, 
146,2.9117136,2.716748714,7.472382545, 
147,4.08686924,4.50604248,9.038537025, 
148,3.451926231,8.315698624,10.25467682, 
149,3.955876112,10.61912727,10.94192123, 
150,5.003902912,11.57476521,11.615201, 
151,5.319524765,11.3259201,11.93907642, 
152,4.782075882,10.71919727,11.65677071, 
153,4.13823843,10.02667618,11.00893402, 
154,3.592673779,9.356549263,10.12747669, 
155,3.08611393,7.69449091,9.820599556, 
156,2.766205549,5.627513409,9.615446091, 
157,2.390322447,4.50349617,9.112312317, 
158,2.222190142,2.928696156,8.009076118, 
159,1.901154041,1.924881697,6.809789181, 
160,1.072847009,1.644634604,6.239146709, 
161,0.639866173,0.397314191,5.840166569, 
162,0.342339635,-0.554685473,5.603196621, 
163,0.019510638,-0.201061562,4.869499683, 
164,-0.720336795,0.517316282,3.806783199, 
165,-1.349178314,0.929704905,3.590927839, 
166,-2.311928272,2.122007608,3.944600821, 
167,-3.991811752,5.891011715,4.0046134, 
168,-6.572732925,13.78065109,2.76936388, 
169,-10.19530296,20.11530304,5.831147194, 
170,-12.77806759,22.15720367,9.378171921, 
171,-10.9933157,21.49159622,6.826515198, 
172,-6.747612953,22.13365173,4.450618267, 
173,-2.532170057,22.50335884,3.695521355, 
174,0.301210463,22.1674118,2.784191847, 
175,0.364425987,20.57299042,2.082311153, 
176,-0.46446529,17.46596718,1.518065572, 
177,-0.612456501,15.31585693,0.901867211, 
178,-1.193249702,14.97374439,0.566720009, 
179,-1.317095757,12.27595997,0.311258912, 
180,-0.439615458,9.128778458,0.036591236, 
181,0.950095654,5.433727264,0.615409672, 
182,1.29787004,4.836176872,0.933515072, 
183,0.746124268,5.209281445,0.442584187, 
184,0.547855616,3.103438139,0.058105573, 
185,0.978908658,0.259130269,-0.181711644, 
186,1.213837385,-0.43024376,-0.110595725, 
187,0.87496078,0.239371747,-0.054211631, 
188,1.474219322,-0.623714149,-0.298546255, 
189,2.034837484,-1.400728822,-1.027192235, 
190,2.120800734,-1.997798324,-2.283347845, 
191,2.121203184,-1.5082829,-2.743175745, 
192,3.756723881,-0.463786244,-1.840871453, 
193,7.312883854,-1.175432444,-1.792061448, 
194,9.094735146,-3.955530882,-0.60975945, 
195,11.13218784,-7.116867065,1.841682673, 
196,13.1499424,-10.29019547,3.786139488, 
197,12.80935764,-13.24950695,4.222474575, 
198,12.00333786,-11.6249876,3.949050188, 
199,12.76094532,-7.878741741,2.807575226, 
200,12.90112495,-4.116028309,0.99754411, 
201,12.24854755,-0.275932699,-1.147962809, 
202,11.63295555,1.411067963,-2.390803337, 
203,11.61133003,1.294436455,-2.911282778, 
204,10.97058964,-0.036262624,-2.349215508, 
205,10.20363045,-1.301493526,-1.287983894, 
206,9.607435226,-2.180665493,-0.44651565, 
207,9.368252754,-3.111687899,-0.060360968, 
208,9.030423164,-3.596571684,0.462447286, 
209,9.012969971,-3.924930573,0.548778474, 
210,9.152970314,-4.75940609,0.579905689, 
211,9.306434631,-5.35050106,0.515764058, 
212,9.625326157,-5.751051903,0.140133113, 
213,9.708903313,-5.780125141,-0.008152558, 
214,9.448027611,-4.968800068,-0.284877926, 
215,8.65982914,-3.985367298,-0.266147643, 
216,7.308091164,-3.006645441,0.822009921, 
217,6.224222183,-2.243654013,1.236186862, 
218,5.248279572,-1.827029347,1.486890554, 
219,4.247404575,-0.054792449,1.217263579, 
220,3.266721725,1.324548721,-0.571487188, 
221,1.233004689,3.439374208,-1.538405538, 
222,-0.813661158,5.708159924,0.142353445, 
223,-1.653580308,5.314027786,0.868075252, 
224,-2.078057289,3.650665998,0.004559172, 
225,-3.965355158,5.511125088,1.00681591, 
226,-5.7417202,7.89376688,3.901216507, 
227,-5.916565895,7.754561901,6.497009277, 
228,-5.034673214,5.425632,7.254897594, 
229,-4.080368996,3.978233337,6.333655357, 
230,-4.189399719,4.320124626,5.383733273, 
231,-5.506207943,7.095424652,4.925339699, 
232,-6.427435398,8.570699692,5.016952515, 
233,-7.0210886,9.242829323,4.838213444, 
234,-7.677855492,8.696228981,5.340036869, 
235,-8.144874573,7.812288284,6.167488575, 
236,-8.50819397,6.771606922,6.638374805, 
237,-9.537671089,5.992301941,6.697103024, 
238,-11.06921959,5.109580994,7.224185944, 
